,deepseek,gemma2_9b,llama_31_8b,llama3_8b,llama3_70b,mixtral_8x7b,ctm
compound-coreference,"(5, 5)","(5, 4)","(5, 1)","(5, 0)","(5, 5)","(5, 1)","(5, 2)"
path-finding,"(1, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 1)"
time-reasoning,"(5, 2)","(5, 2)","(5, 0)","(5, 1)","(5, 3)","(5, 1)","(5, 3)"
simple-negation,"(5, 3)","(5, 5)","(5, 4)","(5, 5)","(5, 3)","(5, 3)","(5, 3)"
positional-reasoning,"(8, 3)","(8, 2)","(8, 4)","(8, 5)","(8, 3)","(8, 0)","(8, 2)"
two-supporting-facts,"(5, 3)","(5, 1)","(5, 2)","(5, 0)","(5, 1)","(5, 1)","(5, 2)"
basic-coreference,"(5, 5)","(5, 3)","(5, 2)","(5, 2)","(5, 3)","(5, 3)","(5, 4)"
single-supporting-fact,"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 1)"
yes-no-questions,"(5, 2)","(5, 3)","(5, 4)","(5, 4)","(5, 4)","(5, 3)","(5, 4)"
size-reasoning,"(5, 4)","(5, 4)","(5, 4)","(5, 5)","(5, 4)","(5, 5)","(5, 4)"
indefinite-knowledge,"(5, 1)","(5, 1)","(5, 3)","(5, 2)","(5, 3)","(5, 3)","(5, 1)"
two-arg-relations,"(1, 1)","(1, 0)","(1, 0)","(1, 1)","(1, 1)","(1, 0)","(1, 0)"
basic-induction,"(1, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
agents-motivations,"(10, 4)","(10, 2)","(10, 7)","(10, 4)","(10, 4)","(10, 0)","(10, 8)"
lists-sets,"(5, 3)","(5, 5)","(5, 3)","(5, 2)","(5, 5)","(5, 3)","(5, 2)"
basic-deduction,"(5, 4)","(5, 4)","(4, 3)","(4, 3)","(4, 4)","(4, 4)","(5, 5)"
three-supporting-facts,"(5, 5)","(5, 3)","(5, 3)","(5, 1)","(5, 5)","(5, 3)","(5, 3)"
three-arg-relations,"(5, 2)","(5, 5)","(5, 3)","(1, 1)","(5, 3)","(1, 0)","(5, 2)"
conjunction,"(5, 4)","(5, 5)","(5, 2)","(5, 2)","(5, 5)","(5, 4)","(5, 1)"
counting,"(5, 5)","(5, 5)","(5, 3)","(5, 3)","(5, 4)","(5, 3)","(5, 3)"
