Artigo,Os componentes específicos da arquitetura de Blum dedicados ao raciocínio lógico estão claramente identificados?,Os resultados demonstram capacidade de resolver problemas de lógica de diferentes níveis de complexidade?,Foi realizada alguma análise de custo computacional ou eficiência do modelo?,Os resultados demonstram consistência em diferentes subconjuntos do dataset?,A metodologia está claramente descrita e é reproduzível?,"Há descrição detalhada dos datasets utilizados, incluindo possíveis vieses?"
A Theoretical Computer Science Perspective on Consciousness ,Yes,Partially,Not Aplicable,Not Aplicable,Yes,Not Aplicable
A Theoretical Computer Science Perspective on Consciousness and Artificial General Intelligence ,Yes,Partially,Not Aplicable,Not Aplicable,Yes,Not Aplicable
A Theoretical Computer Science Perspective on Free Will,Yes,Partially,Not Aplicable,Not Aplicable,Yes,Not Aplicable
A blueprint for conscious machines,No,Not Aplicable,No,Not Aplicable,Partially,Not Aplicable
A cognitive theory of consciousness ,Yes,Yes,Not Aplicable,Not Aplicable,Yes,Not Aplicable
A theory of consciousness from a theoretical computer science perspective: Insights from the Conscious Turing Machine,Yes,Yes,Not Aplicable,Not Aplicable,Yes,Not Aplicable
A universal knowledge model and cognitive architectures for prototyping AGI ,Not Aplicable,Partially,No,Not Aplicable,Partially,No
AI Consciousness is Inevitable: A Theoretical Computer Science Perspective,Yes,Not Aplicable,Not Aplicable,Not Aplicable,Yes,Not Aplicable
Brainish: Formalizing A Multimodal Language for Intelligence and Consciousness ,Yes,Yes,No,Not Aplicable,Yes,No
Conscious Processing and the Global Neuronal Workspace Hypothesis ,Partially,Yes,No,No,Yes,No
Consciousness in Artificial Intelligence: Insights from the Science of Consciousness,Yes,Yes,No,No,Yes,No
Could a Large Language Model be Conscious?,Not Aplicable,Yes,No,No,Not Aplicable,Not Aplicable
Deep learning and the Global Workspace Theory ,Yes,Yes,No,No,Yes,No
Design and evaluation of a global workspace agent embodied in a realistic multimodal environment,Yes,Yes,Yes,Yes,Yes,Not Aplicable
Is artificial consciousness achievable? Lessons from the human brain,Partially,Not Aplicable,Not Aplicable,Not Aplicable,Not Aplicable,Not Aplicable
Survey of Consciousness Theory from Computational Perspective,Yes,Yes,Not Aplicable,Not Aplicable,Not Aplicable,Not Aplicable
"Toward a standard model of consciousness: Reconciling the attention schema, global workspace, higher-order thought, and illusionist theories",Partially,Partially,Not Aplicable,Not Aplicable,Not Aplicable,Not Aplicable
